Id,Artist,Title,Wks,T10,PK,Pkstreams,Total,ReleaseDate,Popularity,Genre,Unique_Listener
33,Sabrina Carpenter,Espresso,76,32,1,"76,427,890","2,523,306,461",4/12/2024,85,"2020s, dance-pop, electropop, pop",1973241
34,Vance Joy,Riptide,372,,16,"16,836,644","2,485,834,943",9/8/2014,81,"alternative rock, folk pop, indie folk, indie pop, singer-songwriter",1951098
35,Miley Cyrus,Flowers,115,25,1,"115,156,896","2,459,389,429",8/18/2023,85,"2010s, contemporary r&b, dance-pop, electropop, pop, pop rock, power pop, queer, rock, teen pop",1116518
36,Benson Boone,Beautiful Things,88,30,1,"55,391,293","2,469,636,608",1/18/2024,84,"2020s, pop, pop rock",857167
37,SZA,Kill Bill,121,26,1,"55,234,610","2,413,447,813",12/9/2022,77,"alternative r&b, american, contemporary r&b, electronic, hip hop soul, neo soul, pop, r&b",2038216
38,The Chainsmokers,Something Just Like This,278,12,2,"33,173,199","2,390,174,506",2/22/2017,72,"2010s, dance-pop, edm, electro house, electronic, electropop, future bass, satire",1114354
39,The Weeknd,Die For You,193,,12,"22,988,828","588,484,750",11/25/2016,79,"2010s, 2020s, alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pop, r&b, synth-pop",1818625
40,Jung Kook,Seven,115,22,1,"89,748,171","2,353,289,191",11/3/2023,83,"edm, k-pop, pop, r&b",3919
41,OneRepublic,Counting Stars,382,24,3,"11,170,130","2,338,993,893",1/1/2013,87,"folk pop, pop, pop rock, rock",1858310
42,The Chainsmokers,Closer,237,28,1,"46,300,740","2,117,566,874",7/29/2016,86,"2010s, dance-pop, edm, electro house, electronic, electropop, future bass, satire",1221447
43,Dua Lipa,Don't Start Now,164,33,2,"37,779,776","2,095,527,045",3/27/2020,82,"alternative pop, boogie, contemporary r&b, dance-pop, dream pop, electropop, europop, funktronica, girlpower, house, house music, indie pop, left-field pop, nu disco, nuno, pop, synth-pop",1448362
44,Hozier,Take Me To Church,313,20,1,"13,212,580","2,082,227,137",9/19/2014,82,"adult alternative pop/rock, alternative, alternative/indie rock, blues, blues rock, chamber pop, contemporary singer/songwriter, folk rock, indie rock, pop, pop rock, pop soul, r&b, rock, singer-songwriter, soul",2072630
45,Shawn Mendes,Señorita,146,23,1,"67,237,638","2,072,961,200",6/21/2019,80,"2010s, 2020s, english, folk pop, pop, pop rock, pop soul, teen pop",859318
46,Post Malone,rockstar,172,27,1,"46,995,997","2,072,812,831",6/27/2024,74,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",256302
47,Lord Huron,The Night We Met,153,,15,"21,456,993","2,069,959,610",4/6/2015,90,"indie folk, indie rock, nuno",1672754
48,The Weeknd,One Of The Girls,103,12,3,"33,826,703","2,050,965,604",6/23/2023,91,"2010s, 2020s, alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pop, r&b, synth-pop",108124
49,Teddy Swims,Lose Control,98,9,5,"33,398,917","2,000,543,529",6/23/2023,81,"alternative rock, country, pop, pop soul, rhythm & blues, rock, soul",752455
50,Elton John,Cold Heart - PNAU Remix,145,28,4,"28,043,005","1,974,787,398",8/13/2021,81,"adult contemporary, british, classic rock, piano rock, pop, pop rock, rock, rock and roll, singer-songwriter, singer/songwriter, soft rock",823709
51,Arctic Monkeys,505,194,,43,"13,120,065","1,967,628,879",4/22/2007,86,"alternative rock, art rock, baroque pop, british, garage rock, garage rock revival, indie rock, neo-psychedelia, post-punk revival, psychedelic pop, psychedelic rock, sheffield, uk",2767053
52,ROSÉ,APT.,49,36,1,"87,041,494","1,967,833,416",10/18/2024,89,"2020s, 3rd gen k-pop, ballad, k-pop, korean ballad, pop",1226996
53,Manuel Turizo,La Bachata,122,25,4,"30,443,567","1,937,228,986",5/26/2022,78,"latin, latin pop, latin urban, reggaeton",361527
54,Travis Scott,goosebumps,280,,13,"22,652,793","1,930,715,182",9/16/2016,84,"english, experimental hip hop, hip hop, pop rap, rap, southern hip hop, trap",1578205
55,Jimin,Who,62,27,1,"64,762,611","1,948,685,337",7/19/2024,87,"ballad, dance-pop, edm, pop, r&b",379950
56,Juice WRLD,Lucid Dreams,204,15,3,"27,389,019","1,911,008,149",12/10/2018,82,"2020s, cloud rap, emo rap, hip hop, look again, rap, trap",1180363
57,Post Malone,Circles,171,18,1,"43,379,405","1,905,867,050",9/6/2019,85,"2010s, 2020s, alternative r&b, cloud rap, contemporary r&b, country, english, hip hop, pop rap, r&b, trap",1401999
58,Tate McRae,greedy,100,29,1,"40,228,313","1,915,490,679",9/15/2023,88,"2020s, alternative pop, contemporary r&b, dance-pop, female vocals, pop, pop rock",1160969
59,Billie Eilish,bad guy,135,24,1,"50,342,324","1,896,726,225",3/29/2019,81,"hip hop, rap, pop",1567845
60,David Guetta,I'm Good (Blue),117,21,2,"34,345,014","1,880,998,531",8/26/2022,85,"dance, dance-pop, electro house, electronic, electropop, english, festival progressive house, future rave, house, tech house",749470
61,Eminem,Without Me,213,,31,"14,105,930","1,855,557,321",1/17/2020,82,"actor, boom bap, conscious hip hop, detroit, detroit hip hop, hardcore hip hop, hip hop, hip-hop, horrorcore, midwest hip hop, midwestern hip-hop, music trade, pop rap, rap, record producer, singer, songwriter, trap",2171005
62,"Tyler, The Creator",See You Again,135,,16,"20,536,166","1,839,524,349",1/29/2016,58,"hardcore hip hop, hip hop, horrorcore, west coast hip hop",219359
