Id,Artist,Title,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Total,ReleaseDate,Unique_Listener,Year,Recency,log_Total,log_Total_norm,Unique_norm,Recency_norm,SongScore,MainGenre,Genre
1720,Chino & Nacho,Andas En Mi Cabeza,,,,,139073573,2/19/2016,91708,2016.0,0.8875,18.75051366,0.652673536,0.02396046,0.8875,51.10249059,Latin,"merengue, reggaeton, latin"
1721,Post Malone,Cooped Up,,,,,138848194,8/12/2022,4916,2022.0,0.9625,18.74889177,0.652516136,0.001283904,0.9625,51.9143239,Hip-Hop / Rap,"contemporary r&b, country, alternative r&b, cloud rap, r&b"
1722,Bellakath,Reggaeton Champagne,,,,,138777705,10/5/2023,134811,2023.0,0.975,18.74838397,0.652466855,0.035222184,0.975,53.18000828,Other,"reggaeton mexa, reggaeton, neoperreo"
1723,Macklemore & Ryan Lewis,Downtown,,,,,138661832,6/9/2017,10802,2017.0,0.9,18.74754867,0.652385791,0.002821767,0.9,50.70394256,Hip-Hop / Rap,pop rap
1724,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),,,,,138651995,10/26/2023,620546,2023.0,0.975,18.74747773,0.652378906,0.162132462,0.975,56.98291915,Indie / Alternative,"country pop, pop, electropop, synth-pop, country"
1725,Marshmello,Numb,,,,,138606962,3/25/2003,233692,2003.0,0.725,18.74715288,0.652347381,0.06105729,0.725,48.94908773,Hip-Hop / Rap,edm
1726,Jasleen Royal,Heeriye,,,,,138568228,1/31/2020,92,2020.0,0.9375,18.74687339,0.652320257,2.35e-05,0.9375,51.36671828,Other,"hindi pop, bollywood, desi, gujarati pop, hindi indie"
1727,Ava Max,My Head & My Heart,,,,,138369251,9/18/2020,293324,2020.0,0.9375,18.74543641,0.652180801,0.076637624,0.9375,53.65816879,Other,"dance-pop, electronic, electropop, pop"
1728,The Weeknd,Sacrifice,,,,,138231128,8/29/1989,790229,1989.0,0.55,18.74443769,0.652083878,0.20646634,0.55,49.79818411,Indie / Alternative,"hypnagogic pop, synth-pop, contemporary r&b, r&b, pop"
1729,Oscar Maydon,Amigos? No.,,,,,137878798,3/6/2025,32970,2025.0,1.0,18.74188559,0.651836203,0.008613705,1.0,52.8502213,Other,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, sad sierreño, sierreño"
1730,Gustavo Mioto,Eu Gosto Assim - Ao Vivo,,,,,137744131,9/16/2022,120531,2022.0,0.9625,18.74090841,0.65174137,0.031491181,0.9625,52.78180392,Other,"sertanejo, sertanejo universitário, arrocha, agronejo"
