Id,Artist,Title,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Total,ReleaseDate,Unique_Listener,Year,Recency,log_Total,log_Total_norm,Unique_norm,Recency_norm,SongScore,MainGenre,Genre
1,The Weeknd,Blinding Lights,,,,,4983733373,3/20/2020,2180511,2020.0,0.9375,22.32944512,1.0,0.569711885,0.9375,85.84135654,Folk / Country,"acoustic rock, folk rock, jazz fusion"
2,Ed Sheeran,Shape of You,,,,,4026397140,3/3/2017,1237055,2017.0,0.9,22.1161378,0.979299051,0.32321068,0.9,76.66127296,Folk / Country,soft pop
3,Harry Styles,As It Was,,,,,3952254943,5/20/2022,1842227,2022.0,0.9625,22.09755212,0.977495357,0.481326826,0.9625,82.56457264,Pop,"pop, rock, soft rock, soul, synth-pop"
4,Lewis Capaldi,Someone You Loved,,,,,3863377350,5/17/2019,994310,2019.0,0.925,22.0748076,0.975288057,0.259787547,0.925,75.05802927,Other,soft pop
5,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,,,,,3602534519,12/14/2018,1637471,2018.0,0.9125,22.00490347,0.968504034,0.427829259,0.9125,79.51007946,Hip-Hop / Rap,"country, r&b, cloud rap, alternative r&b, contemporary r&b"
6,The Neighbourhood,Sweater Weather,,,,,3451043220,4/22/2013,2698243,2013.0,0.85,21.96194241,0.964334769,0.704982169,0.85,86.36620351,Indie / Alternative,"alternative rock, indie pop"
7,Billie Eilish,lovely,,,,,3370150610,4/19/2018,87015,2018.0,0.9125,21.93822327,0.962032885,0.022734297,0.9125,67.03367319,Indie / Alternative,"art pop, indie pop, alternative pop, dark pop, electronic"
8,Imagine Dragons,Believer,,,,,3327246512,6/23/2017,1166235,2017.0,0.9,21.92541093,0.960789479,0.304707204,0.9,75.18069005,Electronic / EDM,"pop, electropop, rock, alternative rock, indie pop"
9,Ed Sheeran,Perfect,,,,,3331984067,6/27/2024,969875,2024.0,0.9875,21.92683378,0.960927563,0.253403299,0.9875,75.39847713,Folk / Country,soft pop
10,The Weeknd,Starboy,,,,,3322003875,11/25/2016,2131976,2016.0,0.8875,21.92383401,0.960636443,0.557030916,0.8875,82.49274965,Indie / Alternative,"hypnagogic pop, pop, r&b, alternative r&b, synth-pop"
21,The Kid LAROI,Stay,,,,,3261615570,7/9/2021,38001,2021.0,0.95,21.90548848,0.958856055,0.009928178,0.95,67.24064809,Hip-Hop / Rap,"emo rap, pop rap, rap"
22,Billie Eilish,BIRDS OF A FEATHER,,,,,3032131526,5/17/2024,2006644,2024.0,0.9875,21.83253168,0.951775777,0.524284832,0.9875,83.06733384,Indie / Alternative,"dark pop, alternative r&b, electronic, electropop, pop rock"
23,Glass Animals,Heat Waves,,,,,3002545699,8/7/2020,1414443,2020.0,0.9375,21.82272633,0.950824192,0.36955768,0.9375,77.37794002,Indie / Alternative,"indie pop, psychedelic rock, psychedelic pop, indie rock, pop"
24,Lady Gaga,Die With A Smile,,,,,2963814968,8/16/2024,1585624,2024.0,0.9875,21.80974312,0.949564203,0.414282949,0.9875,79.65669862,Pop,"art pop, pop"
25,Drake,One Dance,,,,,2856535440,5/6/2016,1725791,2016.0,0.8875,21.77287534,0.945986277,0.450905043,0.8875,78.57646512,Pop,rap
26,Tom Odell,Another Love,,,,,2802580638,6/24/2013,1345942,2013.0,0.85,21.75380649,0.944135691,0.3516601,0.85,74.75658758,Indie / Alternative,"indie folk, indie pop"
27,Arctic Monkeys,I Wanna Be Yours,,,,,2793423185,9/9/2013,2383996,2013.0,0.85,21.75053363,0.943818069,0.622877371,0.85,82.87722458,Rock,"indie, garage rock"
28,Taylor Swift,Cruel Summer,,,,,2650913479,8/23/2019,1596156,2019.0,0.925,21.69817013,0.93873632,0.417034694,0.925,77.94785682,Other,"synth-pop, country, alternative pop, electropop, contemporary country"
29,Harry Styles,Watermelon Sugar,,,,,2600844950,12/13/2019,1404288,2019.0,0.925,21.67910221,0.936885826,0.366904435,0.925,76.35142435,Other,"pop, rock, soft rock, soul, synth-pop"
30,James Arthur,Say You Won't Let Go,,,,,2581216939,10/28/2016,884575,2016.0,0.8875,21.67152681,0.936150652,0.231116565,0.8875,71.49102954,Pop,soft pop
31,Coldplay,Yellow,,,,,2588953124,7/10/2000,3375560,2000.0,0.6875,21.67451943,0.936441079,0.881947981,0.6875,87.03049335,Rock,"piano rock, dream pop, post-britpop, art pop, rock"
32,Tones And I,Dance Monkey,,,,,2538070349,10/17/2019,716120,2019.0,0.925,21.65466992,0.934514733,0.187103532,0.925,70.8388426,Indie / Alternative,"dance-pop, electropop, indie pop, pop soul"
33,Sabrina Carpenter,Espresso,,,,,2523306461,4/12/2024,1973241,2024.0,0.9875,21.64883597,0.933948562,0.515557473,0.9875,81.91415226,Pop,pop
34,Vance Joy,Riptide,,,,,2485834943,9/8/2014,1951098,2014.0,0.8625,21.63387443,0.932496582,0.509772067,0.8625,79.16799108,Indie / Alternative,folk pop
35,Miley Cyrus,Flowers,,,,,2459389429,8/18/2023,1116518,2023.0,0.975,21.62317896,0.931458612,0.291717408,0.975,74.82445286,Pop,"pop rock, contemporary r&b, electropop, teen pop, rock"
36,Benson Boone,Beautiful Things,,,,,2469636608,1/18/2024,857167,2024.0,0.9875,21.62733685,0.931862126,0.223955548,0.9875,73.06177273,Rock,"pop, pop rock"
37,SZA,Kill Bill,,,,,2413447813,12/9/2022,2038216,2022.0,0.9625,21.60432219,0.929628609,0.532533798,0.9625,81.70744441,Hip-Hop / Rap,r&b
38,The Chainsmokers,Something Just Like This,,,,,2390174506,2/22/2017,1114354,2017.0,0.9,21.59463222,0.928688221,0.29115201,0.9,73.16897137,Other,"dance-pop, electronic, electropop"
39,The Weeknd,Die For You,,,,,588484750,11/25/2016,1818625,2016.0,0.8875,20.19306157,0.79266925,0.47516022,0.8875,71.63826911,Indie / Alternative,"synth-pop, contemporary r&b, r&b, hypnagogic pop, pop"
40,Jung Kook,Seven,,,,,2353289191,11/3/2023,3919,2023.0,0.975,21.57907984,0.927178902,0.001023413,0.975,65.88964749,R&B / Soul,k-pop
41,OneRepublic,Counting Stars,,,,,2338993893,1/1/2013,1858310,2013.0,0.85,21.57298671,0.926587579,0.485528908,0.85,77.89524617,Rock,soft pop
42,The Chainsmokers,Closer,,,,,2117566874,7/29/2016,1221447,2016.0,0.8875,21.47353357,0.916935896,0.319132704,0.8875,73.17077593,Other,"dance-pop, electronic, electropop"
43,Dua Lipa,Don't Start Now,,,,,2095527045,3/27/2020,1448362,2020.0,0.9375,21.46307093,0.915920524,0.378419858,0.9375,75.8986219,Indie / Alternative,pop
44,Hozier,Take Me To Church,,,,,2082227137,9/19/2014,2072630,2014.0,0.8625,21.4567039,0.915302619,0.541525306,0.8625,79.26089011,Indie / Alternative,"chamber pop, alternative/indie rock, r&b, folk rock, pop rock"
45,Shawn Mendes,Señorita,,,,,2072961200,6/21/2019,859318,2019.0,0.925,21.45224395,0.914869792,0.22451755,0.925,70.97901609,Folk / Country,"folk pop, pop, pop rock, pop soul, teen pop"
46,Post Malone,rockstar,,,,,2072812831,6/27/2024,256302,2024.0,0.9875,21.45217238,0.914862846,0.066964711,0.9875,67.50208363,Hip-Hop / Rap,"cloud rap, pop rap, r&b, contemporary r&b, alternative r&b"
47,Lord Huron,The Night We Met,,,,,2069959610,4/6/2015,1672754,2015.0,0.875,21.45079493,0.914729168,0.437047815,0.875,76.34789286,Indie / Alternative,soft pop
48,The Weeknd,One Of The Girls,,,,,2050965604,6/23/2023,108124,2023.0,0.975,21.44157655,0.913834546,0.028249546,0.975,66.03921369,Indie / Alternative,"contemporary r&b, alternative r&b, pop, synth-pop, r&b"
49,Teddy Swims,Lose Control,,,,,2000543529,6/23/2023,752455,2023.0,0.975,21.41668475,0.911418859,0.196596949,0.975,70.9688514,Indie / Alternative,"alternative rock, pop soul, soul, pop, country"
50,Elton John,Cold Heart - PNAU Remix,,,,,1974787398,8/13/2021,823709,2021.0,0.95,21.40372658,0.910161301,0.215213818,0.95,70.96447959,Rock,"rock, piano rock, soft rock, rock and roll, classic rock"
51,Arctic Monkeys,505,,,,,1967628879,4/22/2007,2767053,2007.0,0.775,21.40009504,0.909808869,0.722960483,0.775,82.67925793,Rock,"indie, garage rock"
52,ROSÉ,APT.,,,,,1967833416,10/18/2024,1226996,2024.0,0.9875,21.40019899,0.909818956,0.320582517,0.9875,74.85842334,Pop,k-pop
53,Manuel Turizo,La Bachata,,,,,1937228986,5/26/2022,361527,2022.0,0.9625,21.38452443,0.90829778,0.094457344,0.9625,67.4986093,Latin,"reggaeton, pop urbano, latin, colombian pop"
54,Travis Scott,goosebumps,,,,,1930715182,9/16/2016,1578205,2016.0,0.8875,21.38115633,0.907970914,0.412344551,0.8875,75.51888223,Hip-Hop / Rap,rap
55,Jimin,Who,,,,,1948685337,7/19/2024,379950,2024.0,0.9875,21.3904208,0.908870007,0.099270808,0.9875,68.17162461,R&B / Soul,k-pop
56,Juice WRLD,Lucid Dreams,,,,,1911008149,12/10/2018,1180363,2018.0,0.9125,21.37089677,0.906975248,0.308398493,0.9125,72.85071721,Hip-Hop / Rap,"melodic rap, emo rap"
57,Post Malone,Circles,,,,,1905867050,9/6/2019,1401999,2019.0,0.925,21.36820289,0.906713814,0.366306378,0.925,74.82488202,Hip-Hop / Rap,"r&b, alternative r&b, contemporary r&b, cloud rap, trap"
58,Tate McRae,greedy,,,,,1915490679,9/15/2023,1160969,2023.0,0.975,21.37323966,0.90720262,0.303331331,0.975,73.96007093,Rock,"alternative pop, contemporary r&b, dance-pop, pop, pop rock"
59,Billie Eilish,bad guy,,,,,1896726225,3/29/2019,1567845,2019.0,0.925,21.3633952,0.90624724,0.409637745,0.925,76.10149434,Pop,"art pop, indie pop, alternative pop, dark pop, electronic"
60,David Guetta,I'm Good (Blue),,,,,1880998531,8/26/2022,749470,2022.0,0.9625,21.35506861,0.905439164,0.195817044,0.9625,70.39646954,Electronic / EDM,edm
61,Eminem,Without Me,,,,,1855557321,1/17/2020,2171005,2020.0,0.9375,21.34145093,0.904117603,0.567228207,0.9375,80.97272634,Hip-Hop / Rap,"rap, hip hop"
62,"Tyler, The Creator",See You Again,,,,,1839524349,1/29/2016,219359,2016.0,0.8875,21.33277287,0.903275418,0.057312439,0.8875,64.63314409,Hip-Hop / Rap,rap
63,Coldplay,Viva La Vida,,,,,1834343931,6/6/2008,3351611,2008.0,0.7875,21.32995272,0.90300173,0.875690712,0.7875,87.17080787,Rock,"piano rock, dream pop, post-britpop, art pop, rock"
64,Mariah Carey,All I Want for Christmas Is You,,,,,1823145266,10/28/1994,2008404,1994.0,0.6125,21.32382902,0.902407439,0.524744676,0.6125,73.11271223,Rock,christmas
65,The Police,Every Breath You Take,,,,,1833826049,6/17/1983,2507228,1983.0,0.475,21.32967036,0.902974327,0.655074778,0.475,74.3009597,Rock,rock
66,FloyyMenor,Gata Only,,,,,1786874303,2/2/2024,512752,2024.0,0.9875,21.30373373,0.900457242,0.133968614,0.9875,68.7919205,Pop,reggaeton chileno
67,The Weeknd,Save Your Tears,,,,,661883213,3/20/2020,1705044,2020.0,0.9375,20.31059968,0.804076034,0.445484376,0.9375,72.31833296,Pop,"acoustic rock, folk rock, jazz fusion"
68,Chappell Roan,"Good Luck, Babe!",,,,,1759837057,4/5/2024,1890335,2024.0,0.9875,21.28848706,0.89897759,0.493896231,0.9875,79.51576641,Indie / Alternative,"alternative pop, gay pop, pop rock, synth-pop, indie pop"
69,Lady Gaga,Shallow,,,,,1738805577,10/5/2018,859045,2018.0,0.9125,21.27646427,0.897810807,0.224446222,0.9125,69.87392701,Pop,"art pop, pop"
70,Bruno Mars,Locked out of Heaven,,,,,1721237885,12/7/2012,2224936,2012.0,0.8375,21.26630957,0.896825319,0.581319014,0.8375,79.03083637,R&B / Soul,"pop, r&b, rock, soul"
71,Hozier,Too Sweet,,,,,1691896990,3/22/2024,1264663,2024.0,0.9875,21.24911622,0.895156746,0.330423952,0.9875,74.42055589,Indie / Alternative,"chamber pop, alternative/indie rock, r&b, folk rock, pop rock"
72,The Walters,I Love You So,,,,,1689762209,11/28/2014,1579000,2014.0,0.8625,21.24785365,0.895034218,0.412552265,0.8625,74.37827883,Rock,"indie pop, indie rock"
73,OneRepublic,I Ain't Worried,,,,,1663352530,5/13/2022,871639,2022.0,0.9625,21.232101,0.893505462,0.227736716,0.9625,70.75737455,Rock,soft pop
74,Ruth B.,Dandelions,,,,,1653359488,5/5/2017,823651,2017.0,0.9,21.22607511,0.892920664,0.215198664,0.9,69.10199312,Pop,pop
75,Kendrick Lamar,Not Like Us,,,,,1660197735,5/4/2024,1791319,2024.0,0.9875,21.23020255,0.893321222,0.468025853,0.9875,78.45683667,Hip-Hop / Rap,"hip hop, west coast hip hop"
76,Ed Sheeran,Photograph,,,,,1654552631,6/21/2014,1145569,2014.0,0.8625,21.2267965,0.892990673,0.2993077,0.8625,70.87876465,Folk / Country,soft pop
77,Lil Nas X,INDUSTRY BABY,,,,,1632867564,7/23/2021,67463,2021.0,0.95,21.21360355,0.89171033,0.017625854,0.95,64.11429211,Hip-Hop / Rap,"pop rap, trap"
78,Cigarettes After Sex,Apocalypse,,,,,1636336811,6/9/2017,1877495,2017.0,0.9,21.21572593,0.891916302,0.490541463,0.9,77.31205897,Indie / Alternative,dream pop
79,Djo,End of Beginning,,,,,1635508733,9/16/2022,1569002,2022.0,0.9625,21.21521975,0.891867178,0.40994004,0.9625,76.14156008,Indie / Alternative,pop
80,Olivia Rodrigo,good 4 u,,,,,1618703681,5/21/2021,1681778,2021.0,0.95,21.20489147,0.890864844,0.439405558,0.95,76.72540895,Folk / Country,progressive rock
81,Adele,Easy On Me,,,,,1602558038,10/14/2021,1030395,2021.0,0.95,21.19486696,0.88989199,0.269215645,0.95,71.57106889,R&B / Soul,soft pop
82,Bad Bunny,Me Porto Bonito,,,,,1595512799,5/6/2022,622072,2022.0,0.9625,21.19046103,0.889464405,0.162531167,0.9625,68.59915526,Hip-Hop / Rap,"reggaeton, trap latino, urbano latino, latin"
83,Olivia Rodrigo,drivers license,,,,,1590283541,5/21/2021,1489957,2021.0,0.95,21.18717817,0.889145812,0.38928758,0.95,75.13591797,Classical / Instrumental,progressive rock
84,Ariana Grande,we can't be friends (wait for your love),,,,,1600899469,3/8/2024,1240598,2024.0,0.9875,21.19383148,0.889791499,0.324136376,0.9875,73.96366623,Hip-Hop / Rap,pop
85,Dua Lipa,Levitating,,,,,1576155950,3/27/2020,1114066,2020.0,0.9375,21.17825478,0.888279819,0.291076763,0.9375,71.89629382,Indie / Alternative,pop
86,Sabrina Carpenter,Please Please Please,,,,,1574814640,6/6/2024,1570014,2024.0,0.9875,21.17740341,0.888197196,0.41020445,0.9875,76.4659933,Pop,pop
87,Kendrick Lamar,All The Stars,,,,,1565415428,2/9/2018,59759,2018.0,0.9125,21.17141708,0.887616237,0.015612994,0.9125,63.09920164,Hip-Hop / Rap,"hip hop, west coast hip hop"
88,Ariana Grande,7 rings,,,,,1547429518,2/8/2019,1545684,2019.0,0.925,21.15986102,0.88649475,0.403847636,0.925,74.94016657,Hip-Hop / Rap,pop
89,Wham!,Last Christmas,,,,,1531155898,11/29/1984,1784494,1984.0,0.4875,21.14928878,0.88546874,0.466242653,0.4875,68.01071657,Other,christmas
90,XXXTENTACION,SAD!,,,,,1531066913,3/16/2018,1070775,2018.0,0.9125,21.14923066,0.8854631,0.279765919,0.9125,70.91613255,Hip-Hop / Rap,emo rap
91,SZA,Snooze,,,,,1527001258,12/9/2022,1416540,2022.0,0.9625,21.14657169,0.885205053,0.370105573,0.9625,74.61341985,Hip-Hop / Rap,r&b
92,XXXTENTACION,Jocelyn Flores,,,,,1511632218,8/25/2017,1132039,2017.0,0.9,21.13645584,0.884223335,0.295772653,0.9,71.08434637,Hip-Hop / Rap,emo rap
93,Bruno Mars,That's What I Like,,,,,1520422827,11/17/2016,1613246,2016.0,0.8875,21.14225431,0.884786062,0.421499879,0.8875,74.63429948,R&B / Soul,"pop, r&b, rock, soul"
94,Taylor Swift,Anti-Hero,,,,,1501835240,10/21/2022,1295832,2022.0,0.9625,21.12995369,0.883592318,0.338567624,0.9625,73.5866446,Indie / Alternative,"synth-pop, country, alternative pop, electropop, contemporary country"
95,Billie Eilish,WILDFLOWER,,,,,1511638809,5/17/2024,1416131,2024.0,0.9875,21.1364602,0.884223759,0.369998712,0.9875,75.06114929,Indie / Alternative,"pop, pity pop, contemporary r&b, electronica, pop soul"
96,Queen,Bohemian Rhapsody - Remastered 2011,,,,,1484719835,11/21/1975,1517501,1975.0,0.375,21.11849193,0.882479982,0.396484131,0.375,63.51852301,Pop,"classic rock, rock, glam rock"
97,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",,,,,1466812232,7/6/2022,352493,2022.0,0.9625,21.10635733,0.881302349,0.092096988,0.9625,66.07802712,Hip-Hop / Rap,"argentine trap, trap latino, urbano latino"
98,One Direction,Night Changes,,,,,1466877828,11/17/2014,1134227,2014.0,0.8625,21.10640205,0.881306689,0.296344322,0.8625,70.20566414,Pop,"pop, teen pop, pop rock, folk pop, dance-pop"
99,Drake,God's Plan,,,,,1446481457,6/29/2018,1333180,2018.0,0.9125,21.09239986,0.879947811,0.348325712,0.9125,72.69716194,Pop,rap
100,Bruno Mars,When I Was Your Man,,,,,1456131790,12/7/2012,1709025,2012.0,0.8375,21.0990493,0.880593123,0.446524511,0.8375,74.17539144,R&B / Soul,"pop, r&b, rock, soul"
101,Macklemore & Ryan Lewis,Can't Hold Us,,,,,339327547,10/9/2012,59717,2012.0,0.8375,19.64247642,0.73923632,0.01560202,0.8375,54.17987659,Hip-Hop / Rap,pop rap
102,Shaboozey,A Bar Song (Tipsy),,,,,1440720347,4/12/2024,577149,2024.0,0.9875,21.08840907,0.879560514,0.150793922,0.9875,68.25184339,Folk / Country,"country, country pop"
103,Justin Bieber,Ghost,,,,,1439847387,3/19/2021,753255,2021.0,0.95,21.08780296,0.879501694,0.196805969,0.95,68.87926374,Pop,"dance-pop, pop, pop rap, r&b, teen pop"
104,Lil Nas X,MONTERO (Call Me By Your Name),,,,,1435081319,9/17/2021,1244391,2021.0,0.95,21.08448735,0.879179922,0.325127391,0.95,72.71281782,Hip-Hop / Rap,"pop rap, trap"
105,Bruno Mars,Just the Way You Are,,,,,1437071068,5/11/2010,2018360,2010.0,0.8125,21.0858729,0.879314386,0.527345927,0.8125,76.03609708,R&B / Soul,"pop, r&b, rock, soul"
106,KAROL G,Si Antes Te Hubiera Conocido,,,,,1433408220,6/21/2024,426833,2024.0,0.9875,21.08332082,0.879066712,0.111520151,0.9875,67.04894015,Latin,"reggaeton, latin, urbano latino"
107,Travis Scott,SICKO MODE,,,,,1423300401,8/3/2018,1406838,2018.0,0.9125,21.07624424,0.878379948,0.367570686,0.9125,73.19611797,Hip-Hop / Rap,rap
108,Mitski,My Love Mine All Mine,,,,,1396357979,9/15/2023,1857845,2023.0,0.975,21.05713324,0.876525273,0.485407415,0.975,77.88848608,Rock,"rock, pop, alternative rock, indie, folk rock"
109,SAINt JHN,Roses - Imanbek Remix,,,,,1393342289,8/25/2020,577964,2020.0,0.9375,21.05497122,0.876315454,0.151006861,0.9375,67.09597855,Hip-Hop / Rap,rap
110,BTS,Dynamite,,,,,1387320531,8/28/2020,959398,2020.0,0.9375,21.05064005,0.875895124,0.250665924,0.9375,70.06473394,Pop,k-pop
111,The Goo Goo Dolls,Iris,,,,,1400327091,9/15/2025,1088721,2025.0,1.0,21.05997168,0.876800736,0.284454755,1.0,72.37367947,Rock,"alternative rock, punk rock, power pop, pop rock, soft rock"
112,Maroon 5,Memories,,,,,1378872769,6/11/2021,649075,2021.0,0.95,21.04453217,0.87530237,0.169586368,0.95,67.85270953,Rock,pop
113,J. Cole,No Role Modelz,,,,,1369389336,12/9/2014,1513054,2014.0,0.8625,21.03763074,0.874632603,0.395322242,0.8625,72.8412974,Hip-Hop / Rap,rap
114,24kGoldn,Mood,,,,,1364348925,3/26/2021,13084,2021.0,0.95,21.03394317,0.874274734,0.003417996,0.95,62.81627657,Hip-Hop / Rap,"cloud rap, pop rap, rap, trap"
115,Keane,Somewhere Only We Know,,,,,1373507239,5/10/2004,2328465,2004.0,0.7375,21.04063333,0.874923997,0.608368525,0.7375,76.74725562,Rock,"rock and indie, pop rock, indie pop, alternative rock, alternative pop"
116,Ed Sheeran,Bad Habits,,,,,1345540456,10/25/2021,701259,2021.0,0.95,21.0200616,0.872927561,0.183220728,0.95,68.1429999,Other,soft pop
117,French Montana,Unforgettable,,,,,1349704254,7/14/2017,1060103,2017.0,0.9,21.02315134,0.873227413,0.276977595,0.9,69.97069847,Hip-Hop / Rap,"country, acoustic country, pop country"
118,Bad Bunny,DÁKITI,,,,,1340268006,10/30/2020,507432,2020.0,0.9375,21.01613544,0.872546537,0.132578633,0.9375,66.35468582,Hip-Hop / Rap,"reggaeton, trap latino, urbano latino, latin"
119,Sam Smith,Unholy,,,,,1326886078,9/22/2022,25758,2022.0,0.9625,21.00610074,0.871572694,0.006729392,0.9625,63.03051647,Indie / Alternative,soft pop
120,Gracie Abrams,That’s So True,,,,,1334044602,10/18/2024,883614,2024.0,0.9875,21.01148122,0.872094857,0.23086548,0.9875,70.28070724,Indie / Alternative,"bedroom pop, folk pop, pop"
121,Doja Cat,Kiss Me More,,,,,1319804269,6/25/2021,16670,2021.0,0.95,21.00074928,0.871053349,0.004354927,0.95,62.68331524,Hip-Hop / Rap,"power pop, pop rap, rock, trap, alternative rock"
122,Marshmello,Happier,,,,,1314561043,5/21/2021,787133,2021.0,0.95,20.99676864,0.870667037,0.205657434,0.95,68.70307487,Hip-Hop / Rap,edm
123,Gigi Perez,Sailor Song,,,,,1322577436,7/26/2024,1068034,2024.0,0.9875,21.00284827,0.871257051,0.279049765,0.9875,71.68434547,Indie / Alternative,"indie folk, indie pop"
124,Camila Cabello,Havana,,,,,1305095150,1/12/2018,290198,2018.0,0.9125,20.98954179,0.869965689,0.075820879,0.9125,64.02291083,R&B / Soul,"electropop, r&b, dance-pop, pop, hyperpop"
125,Lana Del Rey,Summertime Sadness,,,,,1313138859,1/1/2012,2300747,2012.0,0.8375,20.99568618,0.870561987,0.601126512,0.8375,78.31189474,Indie / Alternative,"hawaiian glam metal, dream pop, alternative pop, chamber pop, electronic"
126,Rema,Calm Down,,,,,1295568954,8/25/2022,228936,2022.0,0.9625,20.98221578,0.869254718,0.059814667,0.9625,64.50717593,Hip-Hop / Rap,"afrobeats, afrobeat, afropop, afropiano"
127,Conan Gray,Heather,,,,,1289793389,3/20/2020,1389802,2020.0,0.9375,20.97774788,0.868821119,0.36311961,0.9375,73.08464426,Indie / Alternative,"alternative pop, indie pop, pop, pop rock, synth-pop"
128,The Killers,Mr. Brightside,,,,,1296157916,,3416984,,,20.98267028,0.869298826,0.892771025,,,Pop,alternative rock
129,John Legend,All of Me,,,,,1278923495,8/30/2013,1216734,2013.0,0.85,20.96928454,0.867999773,0.317901316,0.85,69.93702814,R&B / Soul,"soft pop, neo soul"
130,Feid,LUNA,,,,,1275818674,4/18/2025,267169,2025.0,1.0,20.96685391,0.867763886,0.069803984,1.0,65.48231382,Hip-Hop / Rap,"reggaeton, urbano latino"
131,Ed Sheeran,Thinking out Loud,,,,,1256739061,6/21/2014,1161847,2014.0,0.8625,20.95178616,0.866301598,0.30356073,0.8625,69.67190182,Other,soft pop
132,Bad Bunny,Tití Me Preguntó,,,,,1251442060,5/6/2022,665065,2022.0,0.9625,20.94756237,0.86589169,0.173764151,0.9625,67.75750904,Hip-Hop / Rap,"reggaeton, trap latino, urbano latino, latin"
133,Roddy Ricch,The Box,,,,,1251184105,12/6/2019,1066049,2019.0,0.925,20.94735622,0.865871684,0.278531134,0.925,70.14951824,Hip-Hop / Rap,melodic rap
134,Arctic Monkeys,Do I Wanna Know?,,,,,1250364942,9/9/2013,2682285,2013.0,0.85,20.9467013,0.865808125,0.700812747,0.85,81.31478869,Rock,"indie, garage rock"
135,Ed Sheeran,Shivers,,,,,1240024967,10/25/2021,629312,2021.0,0.95,20.93839735,0.865002248,0.164422796,0.95,67.18279626,Folk / Country,soft pop
136,Metro Boomin,Creepin',,,,,1239540881,12/2/2022,34477,2022.0,0.9625,20.93800689,0.864964354,0.009007446,0.9625,62.7684411,Hip-Hop / Rap,trap
137,Ed Sheeran,I Don't Care,,,,,1236890080,7/8/2009,86855,2009.0,0.8,20.93586607,0.864756593,0.022692493,0.8,59.91860444,Folk / Country,soft pop
138,Post Malone,I Had Some Help (Feat. Morgan Wallen),,,,,1233033416,5/10/2024,604966,2024.0,0.9875,20.93274316,0.864453523,0.158061801,0.9875,67.71453017,Hip-Hop / Rap,"trap, pop rap, cloud rap, r&b, country"
139,Imagine Dragons,Demons,,,,,1232145944,9/4/2012,1639963,2012.0,0.8375,20.93202316,0.864383648,0.428480356,0.8375,72.82359306,Rock,"alternative pop, indie pop, indietronica, pop rock, rock"
140,Post Malone,Better Now,,,,,1232129792,4/27/2018,993577,2018.0,0.9125,20.93201005,0.864382376,0.259596033,0.9125,69.25699976,Hip-Hop / Rap,"contemporary r&b, alternative r&b, pop rap, cloud rap, r&b"
141,Calvin Harris,One Kiss,,,,,1225387792,4/6/2018,59882,2018.0,0.9125,20.9265232,0.86384989,0.01564513,0.9125,61.91184842,Hip-Hop / Rap,edm
142,d4vd,Romantic Homicide,,,,,1236162909,7/20/2022,1405344,2022.0,0.9625,20.93527799,0.864699521,0.367180341,0.9625,73.50038632,Indie / Alternative,"alternative r&b, contemporary r&b, indie pop"
143,DaBaby,ROCKSTAR,,,,,1215705911,6/27/2024,16200,2024.0,0.9875,20.91859074,0.863080065,0.004232128,0.9875,63.0309671,Hip-Hop / Rap,"corridos tumbados, corrido, corridos bélicos, sad sierreño, sierreño, música mexicana, banda"
144,Justin Bieber,Peaches,,,,,1213245560,3/19/2021,24231,2021.0,0.95,20.91656489,0.862883461,0.006330425,0.95,62.3340858,Pop,"dance-pop, pop, pop rap, r&b, teen pop"
145,Travis Scott,FE!N,,,,,1206111064,7/28/2023,312382,2023.0,0.975,20.91066702,0.862311088,0.081616998,0.975,65.06406433,Hip-Hop / Rap,rap
146,Sabrina Carpenter,Taste,,,,,1201951718,5/16/2018,1384141,2018.0,0.9125,20.90721251,0.861975835,0.361640534,0.9125,72.19800777,Pop,pop
147,Imagine Dragons,Thunder,,,,,1201237576,6/23/2017,967273,2017.0,0.9,20.90661818,0.861918157,0.252723462,0.9,68.67761173,Rock,"electropop, alternative rock, pop rock, pop, alternative pop"
148,David Kushner,Daylight,,,,,1196244710,4/14/2023,732538,2023.0,0.975,20.90245308,0.861513945,0.19139314,0.975,68.31749145,Pop,"pop, rock, soft rock, soul, synth-pop"
149,The Weeknd,The Hills,,,,,1192229116,8/28/2015,1949080,2015.0,0.875,20.8990906,0.861187624,0.509244814,0.875,75.83672564,Pop,"acoustic rock, folk rock, jazz fusion"
150,Halsey,Without Me,,,,,1192139465,1/17/2020,1040145,2020.0,0.9375,20.8990154,0.861180326,0.271763074,0.9375,69.96190854,Indie / Alternative,"synth-pop, pop, contemporary r&b, alternative pop, indie pop"
151,Bad Bunny,Ojitos Lindos,,,,,1182016397,5/6/2022,448436,2022.0,0.9625,20.89048763,0.860352727,0.117164469,0.9625,65.78257044,Hip-Hop / Rap,"reggaeton, trap latino, urbano latino, latin"
152,Lewis Capaldi,Before You Go,,,,,1171062417,11/22/2019,681319,2019.0,0.925,20.88117722,0.859449175,0.17801091,0.925,66.81278608,Other,soft pop
153,Artemas,i like the way you kiss me,,,,,1165824835,3/19/2024,1094214,2024.0,0.9875,20.87669469,0.859014156,0.285889937,0.9875,71.27740593,Indie / Alternative,"alternative pop, pop, pop rock, synth-pop"
